jornada,casa,fora
1,S.C. Castêlo Maia,A.D. Grijó
1,F.C. Infesta,"Varzim S.C. ""B"" - SDUQ"
1,C.D. Candal,Valadares Gaia F.C. - SAD
1,A.R.D.C. Gondim Maia,F.C. Pedroso
1,Pedrouços Atl. C.,S.C. Dragões Sandinenses
1,U.D. Beiriz,F.C. Avintes
1,"S.C. Salgueiros ""B"" - SAD",C.F. Oliveira Douro
1,Atl. C. Bougadense,Desp. Leça Balio
2,A.D. Grijó,Atl. C. Bougadense
2,"Varzim S.C. ""B"" - SDUQ",S.C. Castêlo Maia
2,Valadares Gaia F.C. - SAD,F.C. Infesta
2,F.C. Pedroso,C.D. Candal
2,S.C. Dragões Sandinenses,A.R.D.C. Gondim Maia
2,F.C. Avintes,Pedrouços Atl. C.
2,C.F. Oliveira Douro,U.D. Beiriz
2,Desp. Leça Balio,"S.C. Salgueiros ""B"" - SAD"
3,A.D. Grijó,"Varzim S.C. ""B"" - SDUQ"
3,S.C. Castêlo Maia,Valadares Gaia F.C. - SAD
3,F.C. Infesta,F.C. Pedroso
3,C.D. Candal,S.C. Dragões Sandinenses
3,A.R.D.C. Gondim Maia,F.C. Avintes
3,Pedrouços Atl. C.,C.F. Oliveira Douro
3,U.D. Beiriz,Desp. Leça Balio
3,Atl. C. Bougadense,"S.C. Salgueiros ""B"" - SAD"
4,"Varzim S.C. ""B"" - SDUQ",Atl. C. Bougadense
4,Valadares Gaia F.C. - SAD,A.D. Grijó
4,F.C. Pedroso,S.C. Castêlo Maia
4,S.C. Dragões Sandinenses,F.C. Infesta
4,F.C. Avintes,C.D. Candal
4,C.F. Oliveira Douro,A.R.D.C. Gondim Maia
4,Desp. Leça Balio,Pedrouços Atl. C.
4,"S.C. Salgueiros ""B"" - SAD",U.D. Beiriz
5,"Varzim S.C. ""B"" - SDUQ",Valadares Gaia F.C. - SAD
5,A.D. Grijó,F.C. Pedroso
5,S.C. Castêlo Maia,S.C. Dragões Sandinenses
5,F.C. Infesta,F.C. Avintes
5,C.D. Candal,C.F. Oliveira Douro
5,A.R.D.C. Gondim Maia,Desp. Leça Balio
5,Pedrouços Atl. C.,"S.C. Salgueiros ""B"" - SAD"
5,Atl. C. Bougadense,U.D. Beiriz
6,Valadares Gaia F.C. - SAD,Atl. C. Bougadense
6,F.C. Pedroso,"Varzim S.C. ""B"" - SDUQ"
6,S.C. Dragões Sandinenses,A.D. Grijó
6,F.C. Avintes,S.C. Castêlo Maia
6,C.F. Oliveira Douro,F.C. Infesta
6,Desp. Leça Balio,C.D. Candal
6,"S.C. Salgueiros ""B"" - SAD",A.R.D.C. Gondim Maia
6,U.D. Beiriz,Pedrouços Atl. C.
7,Valadares Gaia F.C. - SAD,F.C. Pedroso
7,"Varzim S.C. ""B"" - SDUQ",S.C. Dragões Sandinenses
7,A.D. Grijó,F.C. Avintes
7,S.C. Castêlo Maia,C.F. Oliveira Douro
7,F.C. Infesta,Desp. Leça Balio
7,C.D. Candal,"S.C. Salgueiros ""B"" - SAD"
7,A.R.D.C. Gondim Maia,U.D. Beiriz
7,Atl. C. Bougadense,Pedrouços Atl. C.
8,F.C. Pedroso,Atl. C. Bougadense
8,S.C. Dragões Sandinenses,Valadares Gaia F.C. - SAD
8,F.C. Avintes,"Varzim S.C. ""B"" - SDUQ"
8,C.F. Oliveira Douro,A.D. Grijó
8,Desp. Leça Balio,S.C. Castêlo Maia
8,"S.C. Salgueiros ""B"" - SAD",F.C. Infesta
8,U.D. Beiriz,C.D. Candal
8,Pedrouços Atl. C.,A.R.D.C. Gondim Maia
9,F.C. Pedroso,S.C. Dragões Sandinenses
9,Valadares Gaia F.C. - SAD,F.C. Avintes
9,"Varzim S.C. ""B"" - SDUQ",C.F. Oliveira Douro
9,A.D. Grijó,Desp. Leça Balio
9,S.C. Castêlo Maia,"S.C. Salgueiros ""B"" - SAD"
9,F.C. Infesta,U.D. Beiriz
9,C.D. Candal,Pedrouços Atl. C.
9,Atl. C. Bougadense,A.R.D.C. Gondim Maia
10,S.C. Dragões Sandinenses,Atl. C. Bougadense
10,F.C. Avintes,F.C. Pedroso
10,C.F. Oliveira Douro,Valadares Gaia F.C. - SAD
10,Desp. Leça Balio,"Varzim S.C. ""B"" - SDUQ"
10,"S.C. Salgueiros ""B"" - SAD",A.D. Grijó
10,U.D. Beiriz,S.C. Castêlo Maia
10,Pedrouços Atl. C.,F.C. Infesta
